id,province,district,property_type,bedrooms,baths,floor_area,log_floor_area,floor_level,land_area,log_land_area,nearby_stations,nearest_station_name,nearest_station_distance,nearby_supermarkets,has_many_bedrooms,has_many_baths,has_bus_stops,year_built_bin,has_security,has_pool,has_sports,has_parking,price,is_train
10936325,Bangkok,Watthana,Condo,1.0,1.0,49,3.8918202981106265,8.0,0.0,0.0,3,BL22 Sukhumvit MRT,720,11.0,0,0,0,2011_2015,1,1,1,0,5900000.0,1
10927931,Bangkok,Khlong Toei,Condo,1.0,1.0,34,3.5263605246161616,4.0,0.0,0.0,2,E5 Phrom Phong BTS,650,20.0,0,0,0,2016_2020,1,1,1,1,6290000.0,1
11004792,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,170,5.135798437050262,0.0,248.0,5.5134287461649825,0,,0,2.0,0,0,0,unknown,1,1,0,1,8900000.0,1
10757452,Nonthaburi,Mueang Nonthaburi,Townhouse,3.0,2.0,120,4.787491742782046,0.0,72.0,4.276666119016055,1,PP09 Yaek Nonthaburi 1 MRT,10,6.0,0,0,0,unknown,1,0,0,1,2390000.0,1
10829681,Nonthaburi,Pak Kret,Condo,2.0,1.0,59,4.07753744390572,4.0,0.0,0.0,0,,0,2.0,1,0,1,2011_2015,1,1,1,1,1950000.0,1
10615656,Bangkok,Sai Mai,Townhouse,2.0,2.0,105,4.653960350157523,0.0,72.0,4.276666119016055,0,,0,6.0,0,0,0,unknown,0,0,0,1,1990000.0,1
10611729,Bangkok,Watthana,Condo,1.0,1.0,52,3.9512437185814275,12.0,0.0,0.0,0,,0,17.0,0,0,1,2006_2010,1,1,1,1,7200000.0,1
10827236,Bangkok,Pathum Wan,Condo,1.0,1.0,61,4.110873864173311,11.0,0.0,0.0,3,E1 Chit Lom BTS,490,12.0,0,0,0,2001_2005,1,0,1,1,3500000.0,1
10918223,Bangkok,Chatuchak,Condo,2.0,1.0,46,3.828641396489095,2.0,0.0,0.0,2,N12 Sena Nikhom BTS,310,7.0,1,0,1,2011_2015,1,1,1,1,4300000.0,1
10922676,Samut Prakan,Mueang Samut Prakan,Townhouse,3.0,3.0,108,4.68213122712422,0.0,132.0,4.882801922586371,0,,0,13.0,0,0,0,unknown,1,0,0,0,3230000.0,1
10892608,Bangkok,Prawet,Townhouse,4.0,2.0,117,4.762173934797756,0.0,76.0,4.330733340286331,0,,0,1.0,1,0,1,unknown,0,0,0,0,3600000.0,1
10720889,Nonthaburi,Bang Bua Thong,Townhouse,4.0,3.0,110,4.700480365792417,0.0,128.0,4.852030263919617,0,,0,7.0,1,0,0,unknown,1,0,0,1,2900000.0,1
10754391,Bangkok,Chatuchak,Condo,1.0,1.0,40,3.6888794541139363,6.0,0.0,0.0,3,BL15 Lat Phrao MRT,780,12.0,0,0,0,2016_2020,1,1,1,1,4390000.0,1
10561994,Bangkok,Huai Khwang,Condo,2.0,1.0,60,4.0943445622221,2.0,0.0,0.0,1,BL18 Huai Khwang MRT,340,20.0,1,0,0,2011_2015,1,1,1,1,3650000.0,1
7616895,Bangkok,Phra Khanong,Condo,1.0,1.0,35,3.5553480614894135,24.0,0.0,0.0,1,E12 Udom Suk BTS,240,11.0,0,0,0,2016_2020,1,1,1,1,5400000.0,1
10906912,Bangkok,Suan Luang,Condo,1.0,1.0,23,3.1354942159291497,9.0,0.0,0.0,1,A5 Ramkhamhaeng Airport Link,390,9.0,0,0,0,2016_2020,1,1,1,1,1780000.0,1
10540762,Bangkok,Watthana,Condo,1.0,1.0,44,3.784189633918261,9.0,0.0,0.0,0,,0,18.0,0,0,1,2011_2015,1,1,1,1,6300000.0,1
10980009,Bangkok,Bang Rak,Condo,1.0,1.0,52,3.9512437185814275,9.0,0.0,0.0,1,BL27 Sam Yan MRT,830,13.0,0,0,0,2021_,1,1,1,1,5950000.0,1
9855083,Bangkok,Huai Khwang,Condo,2.0,1.0,60,4.0943445622221,5.0,0.0,0.0,1,BL18 Huai Khwang MRT,340,20.0,1,0,0,2011_2015,1,1,1,1,3890000.0,1
9840544,Bangkok,Bangkok Yai,Condo,1.0,1.0,28,3.332204510175204,8.0,0.0,0.0,3,BL01 Tha Phra MRT,810,3.0,0,0,0,2016_2020,1,1,1,1,1590000.0,1
10724511,Nonthaburi,Pak Kret,Condo,1.0,1.0,34,3.5263605246161616,6.0,0.0,0.0,0,,0,7.0,0,0,1,2016_2020,1,1,1,1,2100000.0,1
11010958,Bangkok,Bueng Kum,Condo,1.0,1.0,39,3.6635616461296463,5.0,0.0,0.0,0,,0,8.0,0,0,1,2006_2010,1,1,1,1,2700000.0,1
10818702,Bangkok,Bueng Kum,Condo,1.0,1.0,26,3.258096538021482,6.0,0.0,0.0,0,,0,7.0,0,0,1,2016_2020,1,1,1,1,1860000.0,1
10848712,Bangkok,Watthana,Condo,2.0,1.0,119,4.77912349311153,9.0,0.0,0.0,0,,0,12.0,1,0,1,_2000,1,1,1,1,7200000.0,1
10986761,Bangkok,Bang Kapi,Condo,2.0,2.0,55,4.007333185232471,2.0,0.0,0.0,0,,0,15.0,1,1,1,2006_2010,1,0,0,1,2790000.0,1
10975031,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,179,5.187385805840755,0.0,336.0,5.817111159963204,0,,0,7.0,0,0,1,unknown,0,0,0,0,8580000.0,1
10114191,Bangkok,Watthana,Condo,1.0,1.0,43,3.7612001156935624,9.0,0.0,0.0,2,E7 Ekkamai BTS,410,19.0,0,0,0,2011_2015,1,1,1,1,6200000.0,1
10716249,Bangkok,Sai Mai,Townhouse,3.0,2.0,72,4.276666119016055,0.0,76.0,4.330733340286331,0,,0,8.0,0,0,1,2016_2020,1,0,0,0,2500000.0,1
10620204,Bangkok,Khlong Toei,Condo,2.0,1.0,47,3.8501476017100584,16.0,0.0,0.0,2,E8 Phra Khanong BTS,550,20.0,1,0,0,2016_2020,1,1,1,1,5700000.0,1
