var,coef,std_err,t,p_value,lower_ci,upper_ci
const,-8156850.918418032,280025.11170787923,-29.128997998319583,1.5095885539566891e-179,-8705752.457708428,-7607949.379127637
bedrooms,480459.703258617,45412.47659466311,10.57990533189905,4.9724410626467414e-26,391442.76419279736,569476.6423244367
baths,1135364.9868323468,43857.6921296229,25.88747678461368,2.3685951935446095e-143,1049395.7158164398,1221334.2578482537
log_floor_area,1497004.8809697276,37158.484478934675,40.2870273629805,0.0,1424167.3086399187,1569842.4532995366
floor_level,29596.775372457138,1589.8479997215481,18.61610378957034,3.8219215121485576e-76,26480.37624324162,32713.174501672656
log_land_area,637359.1667397887,38346.815555034984,16.620915127230237,2.9001422468984315e-61,562192.2434711306,712526.0900084468
nearby_stations,114638.23785950692,33651.32347284206,3.406648714783075,0.0006600894322837148,48675.35638525135,180601.1193337625
nearest_station_distance,-1232.1804271136075,64.98264747920774,-18.961684001992435,7.001714766590124e-79,-1359.5585576353874,-1104.8022965918276
nearby_supermarkets,10342.053474570472,3324.566854183037,3.110797264178307,0.0018707615428561041,3825.2812729452817,16858.82567619566
has_many_bedrooms,172150.11612510192,47899.814459237605,3.593962065794648,0.0003271583729880196,78257.53010650289,266042.70214370097
has_bus_stops,185230.43956089247,33712.23121840765,5.494458030999515,4.00933871093893e-08,119148.16752522704,251312.7115965579
has_parking,-325789.30871660734,53184.80411286502,-6.125608886802334,9.352963241676474e-10,-430041.46191229636,-221537.1555209183
property_type_Condo,3010945.6823261417,214436.03582120052,14.041229921060033,2.1677949158769363e-44,2590610.98654223,3431280.3781100535
property_type_Townhouse,-1095246.4649853199,47570.6592769222,-23.023571286022797,1.6482055410973087e-114,-1188493.8453466962,-1001999.0846239435
bed_bath,-169910.37076359394,10450.244296511615,-16.258985526329898,9.812646946785926e-59,-190394.8021252349,-149425.93940195296
has_security_parking,205195.67657362518,60662.658439621984,3.382569802440459,0.0007206969970210466,86285.53172314435,324105.821424106
has_pool_parking,340891.07270539086,44303.49612781966,7.694450833448647,1.5467310033199597e-14,254047.9425582812,427734.2028525005
province_Nonthaburi,-835918.5011205986,96816.8438001249,-8.634019332899594,6.7683252892343415e-18,-1025697.6043838972,-646139.3978573001
province_Samut Prakan,-776300.0082129266,101155.74472923612,-7.674304709938631,1.8087306708779543e-14,-974584.1679845221,-578015.8484413311
district_Bang Bo,-287186.3468674209,112883.45851888673,-2.5440959254395206,0.010970105718805353,-508459.0168916677,-65913.6768431741
district_Bang Bon,-1256483.931332437,264289.67137370264,-4.754192340554175,2.018529536336358e-06,-1774541.0675328267,-738426.7951320475
district_Bang Bua Thong,-743578.6212494951,54820.76125896059,-13.56381422244397,1.4524424051963808e-41,-851037.5561163998,-636119.6863825903
district_Bang Kapi,-320687.39309339377,127909.98495857681,-2.5071333813169256,0.01218625195901686,-571414.8625198387,-69959.92366694883
district_Bang Khae,-762213.5167237403,170122.06205337937,-4.480391946369541,7.528319963753875e-06,-1095684.5442284802,-428742.4892190003
district_Bang Khen,-663940.1770342888,134030.98135916152,-4.953632140132845,7.396032158070622e-07,-926665.9430627073,-401214.41100587026
district_Bang Kho Laem,1278540.4898956616,238331.79618308975,5.36454015104837,8.285685446963751e-08,811365.6390800884,1745715.3407112348
district_Bang Khun Thian,-935157.4217179446,158841.98778551925,-5.887343987287961,4.043049762491604e-09,-1246517.396070432,-623797.4473654572
district_Bang Kruai,391137.93276310666,69274.5026992918,5.646203401285554,1.6823178042344383e-08,255346.96411281906,526928.9014133943
district_Bang Na,-280905.1113350959,109235.00038030399,-2.5715669003260744,0.010137390798597854,-495026.12172392476,-66784.10094626702
district_Bang Phlat,-350553.7032177702,285217.1169964723,-1.2290766659074883,0.21907022825237726,-909632.5429564395,208525.13652089913
district_Bang Phli,-813.6501273709582,54925.1520538782,-0.014813798359134581,0.9881810088802274,-108477.21045685855,106849.91020211663
district_Bang Rak,1931887.447495186,328908.61653571116,5.873629787638695,4.391146271656039e-09,1287165.105269454,2576609.789720918
district_Bang Sao Thong,-234266.79604782915,91288.78900357427,-2.5662164938857583,0.010295017529675266,-413209.8790392254,-55323.71305643293
district_Bang Sue,-52076.68253546445,265670.08559329016,-0.19602012179567618,0.8445981578754111,-572839.6885250619,468686.32345413306
district_Bang Yai,-201272.7742017192,63511.89935176667,-3.169056133669549,0.0015336763438539064,-325767.96359676536,-76777.58480667305
district_Bangkok Noi,-260324.42793870356,252452.5945287444,-1.0311814320017332,0.3024791717433173,-755178.6818644694,234529.8259870623
district_Bangkok Yai,199848.16780524235,1022895.5825636474,0.19537494462960714,0.8451031584546805,-1805218.2934778915,2204914.629088376
district_Bueng Kum,-522310.0363086275,139088.3548933971,-3.7552391550604427,0.00017409854638863098,-794949.1993919655,-249670.87322528946
district_Chatuchak,-53427.20793232578,192635.15408101992,-0.27734921067343177,0.7815173614850689,-431028.10219362105,324173.6863289695
district_Chom Thong,-511184.08061441546,175393.1304411078,-2.9145045722646308,0.003569956376897332,-854987.3870140116,-167380.7742148193
district_Din Daeng,333832.18804693443,149423.11869631382,2.234140144842057,0.025494531574924255,40934.9569459628,626729.4191479061
district_Don Mueang,-305895.82013946486,157734.4435465988,-1.9393089629729183,0.05249011406334481,-615084.8008483185,3293.1605693887104
district_Huai Khwang,497230.30382707156,121991.66981537019,4.075936533860148,4.6162461334652205e-05,258103.83786884652,736356.7697852966
district_Khan Na Yao,-485288.5235719216,152886.39392213873,-3.1741773163874027,0.0015068961690741828,-784974.4211994321,-185602.62594441115
district_Khlong Sam Wa,-1074474.2380369338,129106.19502301989,-8.322406510743756,9.673770060110124e-17,-1327546.5026915025,-821401.9733823651
district_Khlong San,986410.9348870204,318529.7566515759,3.0967622782131685,0.001961553047223353,362033.0972370929,1610788.7725369479
district_Khlong Toei,1435873.5014261645,128411.31496346253,11.181830057847474,7.2461097093629e-29,1184163.331520838,1687583.671331491
district_Lak Si,-356437.5425796782,209725.75037190685,-1.699541148130867,0.08924648179198756,-767539.1988056533,54664.11364629696
district_Lat Krabang,-759487.1347772435,153096.15417573162,-4.96085051166906,7.126995676737597e-07,-1059584.2016937397,-459390.0678607473
district_Lat Phrao,40706.96831609891,143282.25851992518,0.28410334075267313,0.7763367120690489,-240153.02947094355,321566.96610314137
district_Min Buri,-750018.9516790884,156651.5567836612,-4.7878167767900255,1.7087659363511732e-06,-1057085.272004277,-442952.6313538997
district_Mueang Nonthaburi,380348.533945674,54502.75155914788,6.978519855697733,3.1605188942399384e-12,273512.9575078467,487184.11038350133
district_Mueang Samut Prakan,-113011.21159606751,56310.02997188267,-2.0069463939638728,0.04478060581260994,-223389.3913976649,-2633.031794470109
district_Nong Chok,-2272007.522002727,222247.1848202318,-10.222885494997277,2.0304368097625356e-24,-2707653.5292724012,-1836361.514733052
district_Nong Khaem,-1063154.0576514874,191237.84093216117,-5.559328909327238,2.7734165677654457e-08,-1438015.95706478,-688292.1582381949
district_Pak Kret,264905.1950109182,50939.413893616125,5.200397389026827,2.0255513541005314e-07,165054.42617728258,364755.9638445538
district_Pathum Wan,1467577.223073742,305393.8924585474,4.8055225049169685,1.5645683785239679e-06,868948.1335681762,2066206.3125793077
district_Phasi Charoen,-517026.8183381473,201285.37190305578,-2.5686258939231843,0.010223766861633557,-911583.755751265,-122469.88092502963
district_Phaya Thai,304355.87441630306,213501.63066779627,1.4255435589148917,0.15402945634334994,-114147.21268117224,722858.9615137784
district_Phra Pradaeng,679685.6397467778,168983.01116209177,4.022212854846161,5.805216643287615e-05,348447.3648110649,1010923.9146824908
district_Phra Samut Jadee,-820707.6433210117,90303.01631450499,-9.088374639255377,1.1835570353899495e-19,-997718.4276584749,-643696.8589835485
district_Prawet,-280424.0885705332,137298.7832095992,-2.0424368083615136,0.04113280533890061,-549555.3567871712,-11292.820353895135
district_Rat Burana,-222236.58777169007,188367.34024168388,-1.1798042457177045,0.2381044430428162,-591471.7695026741,146998.593959294
