datetime,temp,feelslike,dew,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,has_snow,has_solarradiation,icon_cloudy,icon_fog,icon_partly_cloudy,icon_rain,icon_snow,ckwh,consumption,production,nuclear,wind,hydroelectric,oil_gas,coal,solar,biomass
2024-01-01 00:00:00,3.4,3.4,2.9,96.47,6.1,3.7,19.0,1018.1,0.0,4.4,0,0,0.0,0.0,0.0,0.0,0.0,1.07,5338,6223,1396,1115,1409,1434,837,0,31
2024-01-01 01:00:00,3.1,3.1,2.6,96.54,6.5,3.7,18.0,1017.7,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,1.5,5148,5775,1396,1228,870,1420,825,0,31
2024-01-01 02:00:00,2.1,2.1,1.8,97.83,6.1,3.4,10.0,1017.5,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4931,5904,1395,1351,868,1424,836,0,31
2024-01-01 03:00:00,1.6,1.6,1.4,98.49,6.5,0.3,354.0,1017.2,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4836,5879,1400,1344,837,1424,843,0,32
2024-01-01 04:00:00,1.5,1.5,1.2,97.81,6.8,0.3,315.0,1016.9,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4556,5865,1398,992,868,1401,788,0,31
2024-01-01 05:00:00,1.0,1.0,0.8,98.5,7.6,0.0,306.0,1016.4,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4791,5842,1398,864,866,1400,788,0,31
2024-01-01 06:00:00,0.6,0.6,0.2,97.73,6.8,0.3,241.0,1016.1,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4754,5849,1403,764,889,1393,757,0,31
2024-01-01 07:00:00,0.4,0.4,0.0,97.72,6.1,0.3,238.0,1015.7,0.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4391,5405,1403,745,1131,1401,781,0,31
2024-01-01 08:00:00,0.3,0.3,-0.2,96.98,5.0,3.6,355.0,1015.5,3.5,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4691,5409,1402,645,1277,1401,794,0,31
2024-01-01 09:00:00,0.4,0.4,-0.1,96.41,9.0,3.3,210.0,1015.6,17.0,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4537,5306,1393,419,1215,1310,796,141,31
2024-01-01 10:00:00,1.8,1.8,0.7,92.13,10.1,3.8,212.0,1015.4,38.5,3.5,0,1,0.0,0.0,1.0,0.0,0.0,0.0,4423,5310,1394,355,1024,1378,825,297,31
2024-01-01 11:00:00,5.1,5.1,1.6,78.28,11.2,3.9,212.0,1015.1,29.2,5.4,0,1,0.0,0.0,1.0,0.0,0.0,0.0,4379,5134,1396,329,970,1302,730,375,30
2024-01-01 12:00:00,8.2,7.0,2.8,69.15,16.6,7.2,232.0,1014.4,17.3,10.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4542,5129,1395,299,939,1395,728,340,30
2024-01-01 13:00:00,9.9,9.0,3.6,65.15,18.7,7.5,230.0,1013.5,77.6,12.1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,4635,5177,1394,359,945,1410,736,302,30
2024-01-01 14:00:00,10.8,10.8,4.3,64.05,19.4,11.0,230.0,1012.8,81.2,13.0,0,1,0.0,0.0,1.0,0.0,0.0,0.22,4670,5179,1394,414,969,1408,732,229,32
2024-01-01 15:00:00,11.3,11.3,4.6,63.24,19.4,7.4,211.0,1011.9,81.6,14.2,0,0,0.0,0.0,1.0,0.0,0.0,0.32,4820,5510,1396,608,1209,1406,729,129,32
2024-01-01 16:00:00,10.7,10.7,4.8,67.1,17.3,10.8,221.0,1011.9,81.6,14.1,0,0,0.0,0.0,1.0,0.0,0.0,0.99,5201,6514,1395,1005,1907,1418,736,21,32
2024-01-01 17:00:00,9.2,8.1,4.8,74.31,15.1,7.5,221.0,1011.9,50.6,11.3,0,0,0.0,0.0,1.0,0.0,0.0,3.92,5694,7055,1396,1437,2058,1405,726,0,32
