datetime,consumption,production,nuclear,wind,hydroelectric,oil_gas,coal,solar,biomass
2024-01-01 00:00:00,5338,6223,1396,1115,1409,1434,837,0,31
2024-01-01 01:00:00,5148,5775,1396,1228,870,1420,825,0,31
2024-01-01 02:00:00,4931,5904,1395,1351,868,1424,836,0,31
2024-01-01 03:00:00,4836,5879,1400,1344,837,1424,843,0,32
2024-01-01 04:00:00,4556,5865,1398,992,868,1401,788,0,31
2024-01-01 05:00:00,4791,5842,1398,864,866,1400,788,0,31
2024-01-01 06:00:00,4754,5849,1403,764,889,1393,757,0,31
2024-01-01 07:00:00,4391,5405,1403,745,1131,1401,781,0,31
2024-01-01 08:00:00,4691,5409,1402,645,1277,1401,794,0,31
2024-01-01 09:00:00,4537,5306,1393,419,1215,1310,796,141,31
2024-01-01 10:00:00,4423,5310,1394,355,1024,1378,825,297,31
2024-01-01 11:00:00,4379,5134,1396,329,970,1302,730,375,30
2024-01-01 12:00:00,4542,5129,1395,299,939,1395,728,340,30
2024-01-01 13:00:00,4635,5177,1394,359,945,1410,736,302,30
2024-01-01 14:00:00,4670,5179,1394,414,969,1408,732,229,32
2024-01-01 15:00:00,4820,5510,1396,608,1209,1406,729,129,32
2024-01-01 16:00:00,5201,6514,1395,1005,1907,1418,736,21,32
2024-01-01 17:00:00,5694,7055,1396,1437,2058,1405,726,0,32
2024-01-01 18:00:00,5734,7394,1393,1826,2035,1391,717,0,32
2024-01-01 19:00:00,5734,7513,1396,1859,2085,1414,730,0,32
2024-01-01 20:00:00,5675,7772,1396,2029,2166,1421,724,0,32
2024-01-01 21:00:00,5531,7709,1396,2135,2023,1405,717,0,31
2024-01-01 22:00:00,5263,7612,1397,2109,1920,1427,728,0,31
2024-01-01 23:00:00,4994,7312,1395,2192,1562,1408,722,0,31
2024-01-02 00:00:00,4780,7070,1396,2173,1347,1401,722,0,31
2024-01-02 01:00:00,4626,7100,1397,2102,1527,1347,695,0,31
2024-01-02 02:00:00,4534,6869,1395,1931,1500,1325,694,0,32
2024-01-02 03:00:00,4459,6524,1397,1480,1532,1377,707,0,31
2024-01-02 04:00:00,4488,6156,1396,1025,1532,1363,808,0,32
2024-01-02 05:00:00,4573,5786,1395,645,1481,1406,828,0,32
2024-01-02 06:00:00,4663,5769,1394,504,1611,1406,824,0,32
2024-01-02 07:00:00,4980,5908,1394,367,1908,1419,784,4,32
2024-01-02 08:00:00,5298,6048,1395,230,2206,1432,745,8,32
2024-01-02 09:00:00,5529,6206,1395,249,2205,1436,831,57,32
2024-01-02 10:00:00,5618,6504,1393,133,2438,1469,863,176,32
2024-01-02 11:00:00,5461,6635,1390,136,2424,1416,839,398,30
2024-01-02 12:00:00,5189,6689,1392,357,2072,1431,809,596,31
2024-01-02 13:00:00,5122,6246,1394,195,1944,1363,737,582,30
2024-01-02 14:00:00,5160,6313,1395,291,1976,1419,739,462,30
2024-01-02 15:00:00,5463,6129,1393,232,2045,1469,760,196,30
2024-01-02 16:00:00,5821,6295,1396,262,2242,1492,859,12,30
2024-01-02 17:00:00,6380,6553,1396,306,2450,1493,877,0,31
2024-01-02 18:00:00,6410,6711,1395,276,2658,1483,868,0,31
2024-01-02 19:00:00,6365,6676,1393,215,2662,1497,878,0,31
2024-01-02 20:00:00,6194,6682,1392,325,2589,1473,873,0,31
2024-01-02 21:00:00,5942,6545,1394,420,2402,1443,856,0,30
2024-01-02 22:00:00,5620,6248,1396,438,2097,1427,854,1,32
2024-01-02 23:00:00,5273,6172,1393,488,2013,1403,845,0,31
2024-01-03 00:00:00,4981,5601,1394,502,1449,1379,847,0,31
2024-01-03 01:00:00,4836,5800,1393,529,1545,1437,866,0,31
2024-01-03 02:00:00,4683,5809,1394,609,1520,1407,849,0,30
2024-01-03 03:00:00,4679,5900,1395,598,1595,1419,862,0,31
2024-01-03 04:00:00,4661,5963,1395,648,1603,1421,865,0,30
