dt,c_kwH
01/01/2024 0:00,1.07
01/01/2024 1:00,1.5
01/01/2024 2:00,0
01/01/2024 3:00,0
01/01/2024 4:00,0
01/01/2024 5:00,0
01/01/2024 6:00,0
01/01/2024 7:00,0
01/01/2024 8:00,0
01/01/2024 9:00,0
01/01/2024 10:00,0
01/01/2024 11:00,0
01/01/2024 12:00,0
01/01/2024 13:00,0
01/01/2024 14:00,0.22
01/01/2024 15:00,0.32
01/01/2024 16:00,0.99
01/01/2024 17:00,3.92
01/01/2024 18:00,5.31
01/01/2024 19:00,6.14
01/01/2024 20:00,6.07
01/01/2024 21:00,5.5
01/01/2024 22:00,4.85
01/01/2024 23:00,0.99
02/01/2024 0:00,0.99
02/01/2024 1:00,3.56
02/01/2024 2:00,2.94
02/01/2024 3:00,1.96
02/01/2024 4:00,2.77
02/01/2024 5:00,1.64
02/01/2024 6:00,0.99
02/01/2024 7:00,3.88
02/01/2024 8:00,4.6
02/01/2024 9:00,7.39
02/01/2024 10:00,7.79
02/01/2024 11:00,7.64
02/01/2024 12:00,7.56
02/01/2024 13:00,7.79
02/01/2024 14:00,8.03
02/01/2024 15:00,8.13
02/01/2024 16:00,8.39
02/01/2024 17:00,8.53
02/01/2024 18:00,8.79
02/01/2024 19:00,8.6
02/01/2024 20:00,8.15
02/01/2024 21:00,7.52
02/01/2024 22:00,6
02/01/2024 23:00,4.8
03/01/2024 0:00,4.1
03/01/2024 1:00,3.75
03/01/2024 2:00,1.94
03/01/2024 3:00,1.82
03/01/2024 4:00,1.73
03/01/2024 5:00,1.68
03/01/2024 6:00,1.78
03/01/2024 7:00,2
03/01/2024 8:00,3.41
03/01/2024 9:00,4.64
03/01/2024 10:00,6.26
03/01/2024 11:00,6.5
03/01/2024 12:00,6
03/01/2024 13:00,5.79
03/01/2024 14:00,5.71
03/01/2024 15:00,5.69
03/01/2024 16:00,6.29
03/01/2024 17:00,7.22
03/01/2024 18:00,7.97
03/01/2024 19:00,8.49
03/01/2024 20:00,8.56
